,business_id,category
0,O_X3PGhk3Y5JWVi866qlJg,Active Life
1,O_X3PGhk3Y5JWVi866qlJg,Arts & Entertainment
2,O_X3PGhk3Y5JWVi866qlJg,Stadiums & Arenas
3,O_X3PGhk3Y5JWVi866qlJg,Horse Racing
4,QbrM7wqtmoNncqjc6GtFaQ,Tires
5,QbrM7wqtmoNncqjc6GtFaQ,Automotive
6,QbrM7wqtmoNncqjc6GtFaQ,Fashion
7,QbrM7wqtmoNncqjc6GtFaQ,Shopping
8,QbrM7wqtmoNncqjc6GtFaQ,Department Stores
9,7lbvsGKzhjuX3oJtaXJvOg,Women's Clothing
10,7lbvsGKzhjuX3oJtaXJvOg,Men's Clothing
11,7lbvsGKzhjuX3oJtaXJvOg,Fashion
12,7lbvsGKzhjuX3oJtaXJvOg,Shopping
13,7lbvsGKzhjuX3oJtaXJvOg,Accessories
14,gjxoKVsRJwEoa8zd9XxlAw,Pet Services
15,gjxoKVsRJwEoa8zd9XxlAw,Pet Boarding/Pet Sitting
16,gjxoKVsRJwEoa8zd9XxlAw,Pets
17,V28yjMqyZnbCtabroJN_aA,Veterinarians
18,V28yjMqyZnbCtabroJN_aA,Pets
19,ShUDf64NVkwCe8izdUbYuw,Mexican
20,ShUDf64NVkwCe8izdUbYuw,Restaurants
21,-orgn4aQoie80CiWcoqkqg,Real Estate Services
22,-orgn4aQoie80CiWcoqkqg,Property Management
23,-orgn4aQoie80CiWcoqkqg,Home Services
24,-orgn4aQoie80CiWcoqkqg,Real Estate
25,mQfT3JYu18HN22DVylcE7A,Bakeries
26,mQfT3JYu18HN22DVylcE7A,Food
27,mQfT3JYu18HN22DVylcE7A,Breakfast & Brunch
28,mQfT3JYu18HN22DVylcE7A,Sandwiches
29,mQfT3JYu18HN22DVylcE7A,Restaurants
30,cqXv3w9Mf-aVi4PPRspfFQ,Art Supplies
31,cqXv3w9Mf-aVi4PPRspfFQ,Shopping
32,cqXv3w9Mf-aVi4PPRspfFQ,Framing
33,cqXv3w9Mf-aVi4PPRspfFQ,Arts & Crafts
34,C2FC_hsVG4rupRESeUnrcA,Active Life
35,C2FC_hsVG4rupRESeUnrcA,Massage Therapy
36,C2FC_hsVG4rupRESeUnrcA,Health & Medical
37,C2FC_hsVG4rupRESeUnrcA,Trainers
38,C2FC_hsVG4rupRESeUnrcA,Fitness & Instruction
39,aW1FWcU8uWqlslFOI2Ts1w,Health & Medical
40,aW1FWcU8uWqlslFOI2Ts1w,Diagnostic Services
41,aW1FWcU8uWqlslFOI2Ts1w,Diagnostic Imaging
42,MiVcQsXp3TYUmeD7FSa-hA,Bakeries
43,MiVcQsXp3TYUmeD7FSa-hA,Food
44,MiVcQsXp3TYUmeD7FSa-hA,Sandwiches
45,MiVcQsXp3TYUmeD7FSa-hA,Restaurants
46,2agDSZF593OlXDj7SZtVxw,Day Spas
47,2agDSZF593OlXDj7SZtVxw,Hair Removal
48,2agDSZF593OlXDj7SZtVxw,Massage
49,2agDSZF593OlXDj7SZtVxw,Beauty & Spas
50,R37sFq0FJOdnoBxpoJbtWA,Automotive
51,R37sFq0FJOdnoBxpoJbtWA,Gas & Service Stations
52,y1oqe6pFYzQK08evy8vlLg,Oil Change Stations
53,y1oqe6pFYzQK08evy8vlLg,Automotive
54,_IwgdSjrIMwAcQdeLNhcZQ,Bars
55,_IwgdSjrIMwAcQdeLNhcZQ,Nightlife
56,ClluhYAaVzuoha89uJmr7g,Local Services
57,ClluhYAaVzuoha89uJmr7g,Dry Cleaning & Laundry
58,6fvsIZmmecvphJDiuDFR9w,Pet Services
59,6fvsIZmmecvphJDiuDFR9w,Pet Groomers
60,6fvsIZmmecvphJDiuDFR9w,Pet Training
61,6fvsIZmmecvphJDiuDFR9w,Pets
62,6fvsIZmmecvphJDiuDFR9w,Pet Stores
63,tl9XIP5trlkcuSfTQqe5jg,Fast Food
64,tl9XIP5trlkcuSfTQqe5jg,Restaurants
65,6zXaBSWYQThXT5z9IDY8lw,Hair Salons
66,6zXaBSWYQThXT5z9IDY8lw,Barbers
67,6zXaBSWYQThXT5z9IDY8lw,Men's Hair Salons
68,6zXaBSWYQThXT5z9IDY8lw,Beauty & Spas
69,lUoiT_fR73R8eMiiIcqMLA,Hotels & Travel
70,lUoiT_fR73R8eMiiIcqMLA,Event Planning & Services
71,lUoiT_fR73R8eMiiIcqMLA,Hotels
72,W0eocyGliMbg8NScqERaiA,Champagne Bars
73,W0eocyGliMbg8NScqERaiA,Bars
74,W0eocyGliMbg8NScqERaiA,Nightlife
75,W0eocyGliMbg8NScqERaiA,Lounges
76,0A8myHrHPpiZGvGyFIBA1w,Doctors
77,0A8myHrHPpiZGvGyFIBA1w,Health & Medical
78,J8T6Fu7RSczrflZ5rC6wvQ,Electricians
79,J8T6Fu7RSczrflZ5rC6wvQ,Home Services
80,J8T6Fu7RSczrflZ5rC6wvQ,Heating & Air Conditioning/HVAC
81,J8T6Fu7RSczrflZ5rC6wvQ,Contractors
82,wAs-stW0HP6OXVXdpawnBQ,Vietnamese
83,wAs-stW0HP6OXVXdpawnBQ,Restaurants
84,5CfsPNHmj7J8l1qXk-USsw,Local Services
85,5CfsPNHmj7J8l1qXk-USsw,Appliances & Repair
86,sbD4f8aOsXZ6PJYh1kN4Ag,Shopping Centers
87,sbD4f8aOsXZ6PJYh1kN4Ag,Fashion
88,sbD4f8aOsXZ6PJYh1kN4Ag,Shopping
89,sbD4f8aOsXZ6PJYh1kN4Ag,Department Stores
90,sbD4f8aOsXZ6PJYh1kN4Ag,Venues & Event Spaces
91,sbD4f8aOsXZ6PJYh1kN4Ag,Event Planning & Services
92,vf5AdVCI7rEvXF2Falgp_w,Hotels & Travel
93,vf5AdVCI7rEvXF2Falgp_w,Event Planning & Services
94,vf5AdVCI7rEvXF2Falgp_w,Hotels
95,gtQzAiy7D-dPU8WzT3jX3Q,Women's Clothing
96,gtQzAiy7D-dPU8WzT3jX3Q,Fashion
97,gtQzAiy7D-dPU8WzT3jX3Q,Shopping
98,As7RemQnYJskIBPWUh3MIg,Nightlife
99,As7RemQnYJskIBPWUh3MIg,Dance Clubs
100,nV_7lAYFVISEs-Te4e39gA,Lighting Fixtures & Equipment
101,nV_7lAYFVISEs-Te4e39gA,Home Services
102,i-jP5qyR1Sqp9_Fjp2rJ5w,Car Wash
103,i-jP5qyR1Sqp9_Fjp2rJ5w,Automotive
104,59IPTGX3P6gxpIFYYv1kZg,Shopping
105,59IPTGX3P6gxpIFYYv1kZg,Home & Garden
106,59IPTGX3P6gxpIFYYv1kZg,Furniture Stores
107,HfWkdqxegjiGEXzI8j7Wwg,Shopping
108,HfWkdqxegjiGEXzI8j7Wwg,Drugstores
109,HfWkdqxegjiGEXzI8j7Wwg,Beauty & Spas
110,HfWkdqxegjiGEXzI8j7Wwg,Food
111,HfWkdqxegjiGEXzI8j7Wwg,Convenience Stores
112,HfWkdqxegjiGEXzI8j7Wwg,Cosmetics & Beauty Supply
113,2KAOVu8cloYC7xC6IGFGIQ,Banks & Credit Unions
114,2KAOVu8cloYC7xC6IGFGIQ,Financial Services
115,31bXixwy2GNmRlhpl21reA,Kitchen & Bath
116,31bXixwy2GNmRlhpl21reA,Shopping
117,31bXixwy2GNmRlhpl21reA,Home & Garden
118,o_YqpIrK0-9F7Q7ggtCSrg,Department Stores
119,o_YqpIrK0-9F7Q7ggtCSrg,Sporting Goods
120,o_YqpIrK0-9F7Q7ggtCSrg,Fashion
121,o_YqpIrK0-9F7Q7ggtCSrg,Shopping
122,o_YqpIrK0-9F7Q7ggtCSrg,Sports Wear
123,xvCWAzIS_EpTwDIUVhY_Og,Burgers
124,xvCWAzIS_EpTwDIUVhY_Og,Fast Food
125,xvCWAzIS_EpTwDIUVhY_Og,Restaurants
126,nKrUueeLiIAeMH8nGhdh3A,Fast Food
127,nKrUueeLiIAeMH8nGhdh3A,Restaurants
128,h3suimHlSVRu9V_AJxbbGw,Kitchen & Bath
129,h3suimHlSVRu9V_AJxbbGw,Shopping
130,h3suimHlSVRu9V_AJxbbGw,Home Decor
131,h3suimHlSVRu9V_AJxbbGw,Home & Garden
132,WoFq0FJFMHAOZ_Cog2NTUw,Home Services
133,WoFq0FJFMHAOZ_Cog2NTUw,Real Estate
134,WoFq0FJFMHAOZ_Cog2NTUw,Apartments
135,fI2DvmH3ikpZnVaxWyL66Q,Active Life
136,fI2DvmH3ikpZnVaxWyL66Q,Swimming Pools
137,fI2DvmH3ikpZnVaxWyL66Q,Parks
138,-tNGtyL1Tx20Od4npKkdcg,Fashion
139,-tNGtyL1Tx20Od4npKkdcg,Shopping
140,-tNGtyL1Tx20Od4npKkdcg,Shoe Stores
141,RxYntP8Gsu9hH6gtGjQGVw,Food
142,RxYntP8Gsu9hH6gtGjQGVw,Seafood
143,RxYntP8Gsu9hH6gtGjQGVw,Seafood Markets
144,RxYntP8Gsu9hH6gtGjQGVw,Specialty Food
145,RxYntP8Gsu9hH6gtGjQGVw,Barbeque
146,RxYntP8Gsu9hH6gtGjQGVw,Restaurants
147,ECtNrwcl5P74qwVGFi3hoQ,Property Management
148,ECtNrwcl5P74qwVGFi3hoQ,Home Services
149,ECtNrwcl5P74qwVGFi3hoQ,Real Estate
150,CqhsIZ7TzCfJTrZqg5-gqQ,Nightlife
151,CqhsIZ7TzCfJTrZqg5-gqQ,Bars
152,CqhsIZ7TzCfJTrZqg5-gqQ,American (Traditional)
153,CqhsIZ7TzCfJTrZqg5-gqQ,Sports Bars
154,CqhsIZ7TzCfJTrZqg5-gqQ,Restaurants
155,rV1WnfnwepMajkwY4Vtoag,Sporting Goods
156,rV1WnfnwepMajkwY4Vtoag,Shopping
157,rV1WnfnwepMajkwY4Vtoag,Outdoor Gear
158,_yGo2ubkwQPXcKrdcURSNw,Hotels & Travel
159,_yGo2ubkwQPXcKrdcURSNw,Event Planning & Services
160,_yGo2ubkwQPXcKrdcURSNw,Hotels
161,hBhIdGHnOrybzw-VuGuBig,Medical Centers
162,hBhIdGHnOrybzw-VuGuBig,Health & Medical
163,ChmqODwuYP1ewjmWXtxtsg,Chinese
164,ChmqODwuYP1ewjmWXtxtsg,Restaurants
165,nBqXILuCGVZ4-aPuRKjCCg,Mexican
166,nBqXILuCGVZ4-aPuRKjCCg,Restaurants
167,qXafmRQz-kXnEKkjsLoAxw,Arts & Entertainment
168,iVnEnR4uv2_J9VyV46boeA,Photographers
169,iVnEnR4uv2_J9VyV46boeA,Event Planning & Services
170,IW9yHeqnFCEbO5s1UCrqeA,Bakeries
171,IW9yHeqnFCEbO5s1UCrqeA,Food
172,IW9yHeqnFCEbO5s1UCrqeA,Desserts
173,KUBfTctWDelcgQwW8t4GxQ,Financial Services
174,KUBfTctWDelcgQwW8t4GxQ,Insurance
175,GtSBeSaMK9aNJT8Ka4GkDQ,Doctors
176,GtSBeSaMK9aNJT8Ka4GkDQ,Health & Medical
177,GtSBeSaMK9aNJT8Ka4GkDQ,Obstetricians & Gynecologists
178,s9D-UVxljO05xWTI33MjnA,Fast Food
179,s9D-UVxljO05xWTI33MjnA,Restaurants
180,2Bd3gy5lmINZ-2QxXVRLdA,Food
181,2Bd3gy5lmINZ-2QxXVRLdA,Coffee & Tea
182,2Bd3gy5lmINZ-2QxXVRLdA,Internet Cafes
183,Xa-NZsGIIU9BWrFetK0EvA,Sporting Goods
184,Xa-NZsGIIU9BWrFetK0EvA,Fashion
185,Xa-NZsGIIU9BWrFetK0EvA,Shopping
186,Xa-NZsGIIU9BWrFetK0EvA,Sports Wear
187,TXOC9oDwBA9tI3vNBlkFbw,Bridal
188,TXOC9oDwBA9tI3vNBlkFbw,Shopping
189,-KF9RQPkmIOHfE0tzUu9bg,Food
190,-KF9RQPkmIOHfE0tzUu9bg,Donuts
191,6w_k3NCXF_p8UTWDxpOF5w,American (Traditional)
192,6w_k3NCXF_p8UTWDxpOF5w,Comfort Food
193,6w_k3NCXF_p8UTWDxpOF5w,Restaurants
194,8ZFPlegggez_VSoBoqRFvg,Barbers
195,8ZFPlegggez_VSoBoqRFvg,Beauty & Spas
196,yvSVDO3llx9Eg2lNreJqmg,Sporting Goods
197,yvSVDO3llx9Eg2lNreJqmg,Fashion
198,yvSVDO3llx9Eg2lNreJqmg,Shopping
199,yvSVDO3llx9Eg2lNreJqmg,Sports Wear
200,Atbyj1_dXFUDysgvGKMdbw,Beauty & Spas
201,Atbyj1_dXFUDysgvGKMdbw,Nail Salons
202,1zM7busmXUfYrbNiIHIcuw,Go Karts
203,1zM7busmXUfYrbNiIHIcuw,Arts & Entertainment
204,1zM7busmXUfYrbNiIHIcuw,Golf
205,1zM7busmXUfYrbNiIHIcuw,Arcades
206,1zM7busmXUfYrbNiIHIcuw,Active Life
207,1zM7busmXUfYrbNiIHIcuw,Mini Golf
208,MwIM3O0p8V_y2ttXz0_xGw,Pediatric Dentists
209,MwIM3O0p8V_y2ttXz0_xGw,Health & Medical
210,MwIM3O0p8V_y2ttXz0_xGw,Dentists
211,MwIM3O0p8V_y2ttXz0_xGw,Orthodontists
212,MFxhYRVqFcEZC009-6yfOw,Local Flavor
213,_DZfwU9dE9Q5I1-1jiM1vQ,Bars
