,business_id,day_of_week,opening_time_hours,closing_time_hours
0,O_X3PGhk3Y5JWVi866qlJg,Saturday,660,1080
1,O_X3PGhk3Y5JWVi866qlJg,Thursday,660,1080
2,O_X3PGhk3Y5JWVi866qlJg,Monday,660,1080
3,O_X3PGhk3Y5JWVi866qlJg,Tuesday,660,1080
4,O_X3PGhk3Y5JWVi866qlJg,Wednesday,660,1080
5,O_X3PGhk3Y5JWVi866qlJg,Friday,660,1080
6,O_X3PGhk3Y5JWVi866qlJg,Sunday,660,1080
7,7lbvsGKzhjuX3oJtaXJvOg,Saturday,600,1260
8,7lbvsGKzhjuX3oJtaXJvOg,Thursday,600,1260
9,7lbvsGKzhjuX3oJtaXJvOg,Monday,600,1260
10,7lbvsGKzhjuX3oJtaXJvOg,Tuesday,600,1260
11,7lbvsGKzhjuX3oJtaXJvOg,Wednesday,600,1260
12,7lbvsGKzhjuX3oJtaXJvOg,Friday,600,1260
13,7lbvsGKzhjuX3oJtaXJvOg,Sunday,660,1080
14,gjxoKVsRJwEoa8zd9XxlAw,Saturday,360,1140
15,gjxoKVsRJwEoa8zd9XxlAw,Thursday,360,1140
16,gjxoKVsRJwEoa8zd9XxlAw,Monday,360,1140
17,gjxoKVsRJwEoa8zd9XxlAw,Tuesday,360,1140
18,gjxoKVsRJwEoa8zd9XxlAw,Wednesday,360,1140
19,gjxoKVsRJwEoa8zd9XxlAw,Friday,360,1140
20,gjxoKVsRJwEoa8zd9XxlAw,Sunday,360,1140
21,ShUDf64NVkwCe8izdUbYuw,Saturday,360,360
22,ShUDf64NVkwCe8izdUbYuw,Thursday,360,360
23,ShUDf64NVkwCe8izdUbYuw,Monday,360,360
24,ShUDf64NVkwCe8izdUbYuw,Tuesday,360,360
25,ShUDf64NVkwCe8izdUbYuw,Wednesday,360,360
26,ShUDf64NVkwCe8izdUbYuw,Friday,360,360
27,ShUDf64NVkwCe8izdUbYuw,Sunday,1200,180
28,mQfT3JYu18HN22DVylcE7A,Saturday,480,870
29,mQfT3JYu18HN22DVylcE7A,Thursday,450,930
30,mQfT3JYu18HN22DVylcE7A,Monday,450,930
31,mQfT3JYu18HN22DVylcE7A,Tuesday,450,930
32,mQfT3JYu18HN22DVylcE7A,Wednesday,450,930
33,mQfT3JYu18HN22DVylcE7A,Friday,450,930
34,cqXv3w9Mf-aVi4PPRspfFQ,Saturday,600,1140
35,cqXv3w9Mf-aVi4PPRspfFQ,Thursday,600,1140
36,cqXv3w9Mf-aVi4PPRspfFQ,Monday,600,1140
37,cqXv3w9Mf-aVi4PPRspfFQ,Tuesday,600,1140
38,cqXv3w9Mf-aVi4PPRspfFQ,Wednesday,600,1140
39,cqXv3w9Mf-aVi4PPRspfFQ,Friday,600,1140
40,cqXv3w9Mf-aVi4PPRspfFQ,Sunday,660,1020
41,MiVcQsXp3TYUmeD7FSa-hA,Saturday,660,900
42,MiVcQsXp3TYUmeD7FSa-hA,Thursday,480,960
43,MiVcQsXp3TYUmeD7FSa-hA,Monday,480,960
44,MiVcQsXp3TYUmeD7FSa-hA,Tuesday,480,960
45,MiVcQsXp3TYUmeD7FSa-hA,Wednesday,480,960
46,MiVcQsXp3TYUmeD7FSa-hA,Friday,480,960
47,2agDSZF593OlXDj7SZtVxw,Saturday,540,1020
48,2agDSZF593OlXDj7SZtVxw,Thursday,540,1140
49,2agDSZF593OlXDj7SZtVxw,Monday,540,1080
50,2agDSZF593OlXDj7SZtVxw,Tuesday,540,1140
51,2agDSZF593OlXDj7SZtVxw,Wednesday,540,840
52,2agDSZF593OlXDj7SZtVxw,Friday,540,840
53,ClluhYAaVzuoha89uJmr7g,Saturday,480,1080
54,ClluhYAaVzuoha89uJmr7g,Thursday,420,1200
55,ClluhYAaVzuoha89uJmr7g,Monday,420,1200
56,ClluhYAaVzuoha89uJmr7g,Tuesday,420,1200
57,ClluhYAaVzuoha89uJmr7g,Wednesday,420,1200
58,ClluhYAaVzuoha89uJmr7g,Friday,420,1200
59,ClluhYAaVzuoha89uJmr7g,Sunday,600,960
60,6fvsIZmmecvphJDiuDFR9w,Saturday,540,1260
61,6fvsIZmmecvphJDiuDFR9w,Thursday,540,1260
62,6fvsIZmmecvphJDiuDFR9w,Monday,540,1260
63,6fvsIZmmecvphJDiuDFR9w,Tuesday,540,1260
64,6fvsIZmmecvphJDiuDFR9w,Wednesday,540,1260
65,6fvsIZmmecvphJDiuDFR9w,Friday,540,1260
66,6fvsIZmmecvphJDiuDFR9w,Sunday,600,1080
67,6zXaBSWYQThXT5z9IDY8lw,Saturday,600,1140
68,6zXaBSWYQThXT5z9IDY8lw,Thursday,600,1140
69,6zXaBSWYQThXT5z9IDY8lw,Monday,600,1140
70,6zXaBSWYQThXT5z9IDY8lw,Tuesday,600,1140
71,6zXaBSWYQThXT5z9IDY8lw,Wednesday,600,1140
72,6zXaBSWYQThXT5z9IDY8lw,Friday,600,1140
73,6zXaBSWYQThXT5z9IDY8lw,Sunday,660,960
74,W0eocyGliMbg8NScqERaiA,Saturday,540,960
75,W0eocyGliMbg8NScqERaiA,Thursday,960,60
76,W0eocyGliMbg8NScqERaiA,Tuesday,960,1320
77,W0eocyGliMbg8NScqERaiA,Wednesday,960,0
78,W0eocyGliMbg8NScqERaiA,Friday,960,120
79,W0eocyGliMbg8NScqERaiA,Sunday,540,1080
80,J8T6Fu7RSczrflZ5rC6wvQ,Saturday,360,330
81,J8T6Fu7RSczrflZ5rC6wvQ,Thursday,360,330
82,J8T6Fu7RSczrflZ5rC6wvQ,Monday,360,330
83,J8T6Fu7RSczrflZ5rC6wvQ,Tuesday,360,330
84,J8T6Fu7RSczrflZ5rC6wvQ,Wednesday,360,330
85,J8T6Fu7RSczrflZ5rC6wvQ,Friday,360,330
86,J8T6Fu7RSczrflZ5rC6wvQ,Sunday,360,330
87,sbD4f8aOsXZ6PJYh1kN4Ag,Saturday,660,1260
88,sbD4f8aOsXZ6PJYh1kN4Ag,Thursday,660,1260
89,sbD4f8aOsXZ6PJYh1kN4Ag,Monday,660,1260
90,sbD4f8aOsXZ6PJYh1kN4Ag,Tuesday,660,1260
91,sbD4f8aOsXZ6PJYh1kN4Ag,Wednesday,660,1260
92,sbD4f8aOsXZ6PJYh1kN4Ag,Friday,660,1260
93,sbD4f8aOsXZ6PJYh1kN4Ag,Sunday,660,1080
94,nV_7lAYFVISEs-Te4e39gA,Saturday,600,1020
95,nV_7lAYFVISEs-Te4e39gA,Thursday,540,1050
96,nV_7lAYFVISEs-Te4e39gA,Monday,540,1050
97,nV_7lAYFVISEs-Te4e39gA,Tuesday,540,1050
98,nV_7lAYFVISEs-Te4e39gA,Wednesday,540,1050
99,nV_7lAYFVISEs-Te4e39gA,Friday,540,1050
100,HfWkdqxegjiGEXzI8j7Wwg,Saturday,0,0
101,HfWkdqxegjiGEXzI8j7Wwg,Thursday,0,0
102,HfWkdqxegjiGEXzI8j7Wwg,Monday,0,0
103,HfWkdqxegjiGEXzI8j7Wwg,Tuesday,0,0
104,HfWkdqxegjiGEXzI8j7Wwg,Wednesday,0,0
105,HfWkdqxegjiGEXzI8j7Wwg,Friday,0,0
106,HfWkdqxegjiGEXzI8j7Wwg,Sunday,0,0
107,2KAOVu8cloYC7xC6IGFGIQ,Saturday,540,840
108,2KAOVu8cloYC7xC6IGFGIQ,Thursday,480,1080
109,2KAOVu8cloYC7xC6IGFGIQ,Monday,480,1080
110,2KAOVu8cloYC7xC6IGFGIQ,Tuesday,480,1080
111,2KAOVu8cloYC7xC6IGFGIQ,Wednesday,480,1080
112,2KAOVu8cloYC7xC6IGFGIQ,Friday,480,1080
113,h3suimHlSVRu9V_AJxbbGw,Saturday,570,1260
114,h3suimHlSVRu9V_AJxbbGw,Thursday,570,1260
115,h3suimHlSVRu9V_AJxbbGw,Monday,570,1260
116,h3suimHlSVRu9V_AJxbbGw,Tuesday,570,1260
117,h3suimHlSVRu9V_AJxbbGw,Wednesday,570,1260
118,h3suimHlSVRu9V_AJxbbGw,Friday,570,1260
119,h3suimHlSVRu9V_AJxbbGw,Sunday,600,1140
120,-tNGtyL1Tx20Od4npKkdcg,Saturday,600,1080
121,-tNGtyL1Tx20Od4npKkdcg,Thursday,600,1080
122,-tNGtyL1Tx20Od4npKkdcg,Monday,600,1080
123,-tNGtyL1Tx20Od4npKkdcg,Tuesday,600,1080
124,-tNGtyL1Tx20Od4npKkdcg,Wednesday,600,1080
125,-tNGtyL1Tx20Od4npKkdcg,Friday,600,1080
126,-tNGtyL1Tx20Od4npKkdcg,Sunday,720,1020
127,RxYntP8Gsu9hH6gtGjQGVw,Saturday,600,1260
128,RxYntP8Gsu9hH6gtGjQGVw,Thursday,600,1260
129,RxYntP8Gsu9hH6gtGjQGVw,Monday,600,1260
130,RxYntP8Gsu9hH6gtGjQGVw,Tuesday,600,1260
131,RxYntP8Gsu9hH6gtGjQGVw,Wednesday,600,1260
132,RxYntP8Gsu9hH6gtGjQGVw,Friday,600,1260
133,RxYntP8Gsu9hH6gtGjQGVw,Sunday,600,960
134,CqhsIZ7TzCfJTrZqg5-gqQ,Saturday,660,120
135,CqhsIZ7TzCfJTrZqg5-gqQ,Thursday,660,120
136,CqhsIZ7TzCfJTrZqg5-gqQ,Monday,660,120
137,CqhsIZ7TzCfJTrZqg5-gqQ,Tuesday,660,120
138,CqhsIZ7TzCfJTrZqg5-gqQ,Wednesday,660,120
