,business_id,full_address,active,city,review_count,business_name,latitude,longitude,state,stars
0,--4Pe8BZ6gj57VFL5mUE8g,"21001 North Tatum Blvd. #24
Phoenix, AZ 85050",True,Phoenix,5,Office Max,33.678615,-111.974607,AZ,3.0
1,--5jkZ3-nUPZxUvtcbr8Uw,"1336 N Scottsdale Rd
Scottsdale, AZ 85257",True,Scottsdale,31,Mika's Greek,33.463373,-111.92690800000001,AZ,4.5
2,--BlvDO_RG2yElKu9XA1_g,"14870 N Northsight Blvd
Ste 103
Scottsdale, AZ 85260",True,Scottsdale,54,Asian Island,33.621463,-111.89830500000001,AZ,4.0
3,--eIGtjp5iVWXeeCnhVNRA,"5237 W Glendale Ave
Glendale, AZ 85301",True,Glendale,3,Pratt's Pets & Feed,33.538196,-112.17211,AZ,4.0
4,--Ol5mVSMaW8ExtmWRUmKA,"7110 E Thomas Rd
Ste D
Scottsdale, AZ 85251",True,Scottsdale,3,Dave's Barber Shop,33.480509999999995,-111.92896699999999,AZ,5.0
5,--qeSYxyn62mMjWvznNTdg,"1747 E Florence Blvd
Casa Grande, AZ 85122",True,Casa Grande,4,Panda Express,32.879219,-111.712176,AZ,4.0
6,--XBxRlD92RaV6TyUnP8Ow,"7510 W Thomas Rd Ste 108
Phoenix, AZ 85033",True,Phoenix,3,Sprint,33.480678999999995,-112.22105400000001,AZ,3.5
7,-0bUDim5OGuv8R0Qqq6J4A,"7023 N 19th Ave
Phoenix, AZ 85021",True,Phoenix,7,International House of Pancakes,33.539644,-112.09936,AZ,2.0
8,-0D_CYhlD2ILkmLR0pBmnA,"9832 W Northern Ave
Ste 1660
Peoria, AZ 85345",True,Peoria,8,Olive Gourmet,33.551491,-112.27013600000001,AZ,4.0
9,-0QBrNvhrPQCaeo7mTo0zQ,"2526 W Van Buren Street
Phoenix, AZ 85009",True,Phoenix,3,La Salcita,33.451163,-112.11428000000001,AZ,4.5
10,-0xwm_AwS0d_5rwUprHGuw,"1710 W Southern Ave
Ste B7
Mesa, AZ 85202",True,Mesa,22,Cup O'Karma,33.393794,-111.86831200000002,AZ,4.0
