,business_id,attribute_name,attribute_value
0,O_X3PGhk3Y5JWVi866qlJg,Alcohol,full_bar
1,O_X3PGhk3Y5JWVi866qlJg,Waiter Service,true
2,O_X3PGhk3Y5JWVi866qlJg,Delivery,false
3,O_X3PGhk3Y5JWVi866qlJg,Attire,casual
4,O_X3PGhk3Y5JWVi866qlJg,Good for Kids,false
5,O_X3PGhk3Y5JWVi866qlJg,Take-out,false
6,O_X3PGhk3Y5JWVi866qlJg,Accepts Credit Cards,true
7,O_X3PGhk3Y5JWVi866qlJg,Price Range,2
8,O_X3PGhk3Y5JWVi866qlJg,Takes Reservations,true
9,O_X3PGhk3Y5JWVi866qlJg,Noise Level,average
10,O_X3PGhk3Y5JWVi866qlJg,Has TV,true
11,O_X3PGhk3Y5JWVi866qlJg,Wheelchair Accessible,true
12,O_X3PGhk3Y5JWVi866qlJg,Good For Groups,true
13,O_X3PGhk3Y5JWVi866qlJg,Outdoor Seating,true
14,O_X3PGhk3Y5JWVi866qlJg,Wi-Fi,free
15,QbrM7wqtmoNncqjc6GtFaQ,Accepts Credit Cards,true
16,QbrM7wqtmoNncqjc6GtFaQ,Price Range,2
17,7lbvsGKzhjuX3oJtaXJvOg,Accepts Credit Cards,true
18,7lbvsGKzhjuX3oJtaXJvOg,Price Range,1
19,ShUDf64NVkwCe8izdUbYuw,Alcohol,full_bar
20,ShUDf64NVkwCe8izdUbYuw,Good for Kids,true
21,-orgn4aQoie80CiWcoqkqg,Accepts Credit Cards,false
22,mQfT3JYu18HN22DVylcE7A,Alcohol,none
23,mQfT3JYu18HN22DVylcE7A,Waiter Service,false
24,mQfT3JYu18HN22DVylcE7A,Attire,casual
25,mQfT3JYu18HN22DVylcE7A,Delivery,false
26,mQfT3JYu18HN22DVylcE7A,Good for Kids,true
27,mQfT3JYu18HN22DVylcE7A,Take-out,true
28,mQfT3JYu18HN22DVylcE7A,Accepts Credit Cards,true
29,mQfT3JYu18HN22DVylcE7A,Price Range,1
30,mQfT3JYu18HN22DVylcE7A,Takes Reservations,false
31,mQfT3JYu18HN22DVylcE7A,Caters,true
32,mQfT3JYu18HN22DVylcE7A,Noise Level,average
33,mQfT3JYu18HN22DVylcE7A,Has TV,true
34,mQfT3JYu18HN22DVylcE7A,Wheelchair Accessible,true
35,mQfT3JYu18HN22DVylcE7A,Good For Groups,true
36,mQfT3JYu18HN22DVylcE7A,Outdoor Seating,true
37,mQfT3JYu18HN22DVylcE7A,Wi-Fi,no
38,cqXv3w9Mf-aVi4PPRspfFQ,Wheelchair Accessible,true
39,cqXv3w9Mf-aVi4PPRspfFQ,Accepts Credit Cards,true
40,cqXv3w9Mf-aVi4PPRspfFQ,Price Range,2
41,C2FC_hsVG4rupRESeUnrcA,Good for Kids,true
42,MiVcQsXp3TYUmeD7FSa-hA,Alcohol,none
43,MiVcQsXp3TYUmeD7FSa-hA,Waiter Service,false
