"business_id","attribute_name","attribute_value"
"O_X3PGhk3Y5JWVi866qlJg","Alcohol","full_bar"
"O_X3PGhk3Y5JWVi866qlJg","Waiter Service","true"
"O_X3PGhk3Y5JWVi866qlJg","Delivery","false"
"O_X3PGhk3Y5JWVi866qlJg","Attire","casual"
"O_X3PGhk3Y5JWVi866qlJg","Good for Kids","false"
"O_X3PGhk3Y5JWVi866qlJg","Take-out","false"
"O_X3PGhk3Y5JWVi866qlJg","Accepts Credit Cards","true"
"O_X3PGhk3Y5JWVi866qlJg","Price Range","2"
"O_X3PGhk3Y5JWVi866qlJg","Takes Reservations","true"
"O_X3PGhk3Y5JWVi866qlJg","Noise Level","average"
"O_X3PGhk3Y5JWVi866qlJg","Has TV","true"
"O_X3PGhk3Y5JWVi866qlJg","Wheelchair Accessible","true"
"O_X3PGhk3Y5JWVi866qlJg","Good For Groups","true"
"O_X3PGhk3Y5JWVi866qlJg","Outdoor Seating","true"
"O_X3PGhk3Y5JWVi866qlJg","Wi-Fi","free"
"QbrM7wqtmoNncqjc6GtFaQ","Accepts Credit Cards","true"
"QbrM7wqtmoNncqjc6GtFaQ","Price Range","2"
"7lbvsGKzhjuX3oJtaXJvOg","Accepts Credit Cards","true"
"7lbvsGKzhjuX3oJtaXJvOg","Price Range","1"
"ShUDf64NVkwCe8izdUbYuw","Alcohol","full_bar"
"ShUDf64NVkwCe8izdUbYuw","Good for Kids","true"
"-orgn4aQoie80CiWcoqkqg","Accepts Credit Cards","false"
"mQfT3JYu18HN22DVylcE7A","Alcohol","none"
"mQfT3JYu18HN22DVylcE7A","Waiter Service","false"
"mQfT3JYu18HN22DVylcE7A","Attire","casual"
"mQfT3JYu18HN22DVylcE7A","Delivery","false"
"mQfT3JYu18HN22DVylcE7A","Good for Kids","true"
"mQfT3JYu18HN22DVylcE7A","Take-out","true"
"mQfT3JYu18HN22DVylcE7A","Accepts Credit Cards","true"
"mQfT3JYu18HN22DVylcE7A","Price Range","1"
"mQfT3JYu18HN22DVylcE7A","Takes Reservations","false"
"mQfT3JYu18HN22DVylcE7A","Caters","true"
"mQfT3JYu18HN22DVylcE7A","Noise Level","average"
"mQfT3JYu18HN22DVylcE7A","Has TV","true"
"mQfT3JYu18HN22DVylcE7A","Wheelchair Accessible","true"
"mQfT3JYu18HN22DVylcE7A","Good For Groups","true"
"mQfT3JYu18HN22DVylcE7A","Outdoor Seating","true"
"mQfT3JYu18HN22DVylcE7A","Wi-Fi","no"
"cqXv3w9Mf-aVi4PPRspfFQ","Wheelchair Accessible","true"
"cqXv3w9Mf-aVi4PPRspfFQ","Accepts Credit Cards","true"
"cqXv3w9Mf-aVi4PPRspfFQ","Price Range","2"
"C2FC_hsVG4rupRESeUnrcA","Good for Kids","true"
"MiVcQsXp3TYUmeD7FSa-hA","Alcohol","none"
"MiVcQsXp3TYUmeD7FSa-hA","Waiter Service","false"
"MiVcQsXp3TYUmeD7FSa-hA","Attire","casual"
"MiVcQsXp3TYUmeD7FSa-hA","Delivery","true"
"MiVcQsXp3TYUmeD7FSa-hA","Good for Kids","true"
"MiVcQsXp3TYUmeD7FSa-hA","Take-out","true"
"MiVcQsXp3TYUmeD7FSa-hA","Accepts Credit Cards","true"
"MiVcQsXp3TYUmeD7FSa-hA","Price Range","1"
"MiVcQsXp3TYUmeD7FSa-hA","Takes Reservations","true"
"MiVcQsXp3TYUmeD7FSa-hA","Caters","true"
"MiVcQsXp3TYUmeD7FSa-hA","Noise Level","average"
"MiVcQsXp3TYUmeD7FSa-hA","Has TV","false"
"MiVcQsXp3TYUmeD7FSa-hA","Wheelchair Accessible","true"
"MiVcQsXp3TYUmeD7FSa-hA","Good For Groups","true"
"MiVcQsXp3TYUmeD7FSa-hA","Outdoor Seating","true"
"MiVcQsXp3TYUmeD7FSa-hA","Wi-Fi","free"
"2agDSZF593OlXDj7SZtVxw","By Appointment Only","true"
"2agDSZF593OlXDj7SZtVxw","Wheelchair Accessible","true"
"2agDSZF593OlXDj7SZtVxw","Accepts Credit Cards","true"
