"business_id","full_address","active","city","review_count","business_name","neighborhoods","latitude","longitude","state","stars"
"--4Pe8BZ6gj57VFL5mUE8g","21001 North Tatum Blvd. #24
Phoenix, AZ 85050","true","Phoenix","5","Office Max","","33.678615","-111.974607","AZ","3"
"--5jkZ3-nUPZxUvtcbr8Uw","1336 N Scottsdale Rd
Scottsdale, AZ 85257","true","Scottsdale","31","Mika's Greek","","33.463373","-111.926908","AZ","4.5"
"--BlvDO_RG2yElKu9XA1_g","14870 N Northsight Blvd
Ste 103
Scottsdale, AZ 85260","true","Scottsdale","54","Asian Island","","33.621463","-111.898305","AZ","4"
"--eIGtjp5iVWXeeCnhVNRA","5237 W Glendale Ave
Glendale, AZ 85301","true","Glendale","3","Pratt's Pets & Feed","","33.538196","-112.17211","AZ","4"
"--Ol5mVSMaW8ExtmWRUmKA","7110 E Thomas Rd
Ste D
Scottsdale, AZ 85251","true","Scottsdale","3","Dave's Barber Shop","","33.48051","-111.928967","AZ","5"
"--qeSYxyn62mMjWvznNTdg","1747 E Florence Blvd
Casa Grande, AZ 85122","true","Casa Grande","4","Panda Express","","32.879219","-111.712176","AZ","4"
"--XBxRlD92RaV6TyUnP8Ow","7510 W Thomas Rd Ste 108
Phoenix, AZ 85033","true","Phoenix","3","Sprint","","33.480679","-112.221054","AZ","3.5"
"-0bUDim5OGuv8R0Qqq6J4A","7023 N 19th Ave
Phoenix, AZ 85021","true","Phoenix","7","International House of Pancakes","","33.539644","-112.09936","AZ","2"
"-0D_CYhlD2ILkmLR0pBmnA","9832 W Northern Ave
Ste 1660
Peoria, AZ 85345","true","Peoria","8","Olive Gourmet","","33.551491","-112.270136","AZ","4"
"-0QBrNvhrPQCaeo7mTo0zQ","2526 W Van Buren Street
Phoenix, AZ 85009","true","Phoenix","3","La Salcita","","33.451163","-112.11428","AZ","4.5"
"-0xwm_AwS0d_5rwUprHGuw","1710 W Southern Ave
Ste B7
Mesa, AZ 85202","true","Mesa","22","Cup O'Karma","","33.393794","-111.868312","AZ","4"
"-1-sUowC7fJ-cn7mCxvJ5w","7121 E 5th Ave
Ste 1
Scottsdale, AZ 85251","true","Scottsdale","3","The Angel Store & More...","","33.497981","-111.927413","AZ","2.5"
"-1bOb2izeJBZjHC7NWxiPA","61 W. Thomas Road
Phoenix, AZ 85013","true","Phoenix","75","First Watch","","33.479996","-112.077144","AZ","3.5"
"-1N0Z3uM8xbxKS8XiAnaog","7047 E Greenway Parkway
Suite 250
Scottsdale, AZ 85254","true","Scottsdale","3","Corporate Office Centers","","33.622546","-111.92857","AZ","2.5"
"-1qDklczWpxON-3_Nj9NgA","525 W Broadway Rd
Tempe, AZ 85282","true","Tempe","4","Arby's","","33.407373","-111.94704","AZ","3"
"-24unjUhdfbFW43xD8l-aA","1900 W Germann Rd
Ste 3
Chandler, AZ 85286","true","Chandler","13","Bikram Yoga Chandler","","33.276678","-111.875125","AZ","4.5"
"-2xCV0XGD9NxfWaVwA1-DQ","9008 N 99th Ave
Peoria, AZ 85345","true","Peoria","8","Nino's Pizzeria 2","","33.566264","-112.276615","AZ","4"
"-2_O3_WKgO5In5XO5extNQ","1107 E Bell Rd
Ste 16
Phoenix, AZ 85022","true","Phoenix","6","Balkan Bakery","","33.639493","-112.057685","AZ","5"
"-34jE_5dujSWMIOBudQsiQ","9377 E Bell Rd
Scottsdale, AZ 85260","true","Scottsdale","5","Dairiki Tami, MD","","33.637203","-111.882191","AZ","5"
"-3frEL8Vo8kyq4kfgTn0GA","6185 W Chandler Blvd
Chandler, AZ 85226","true","Chandler","4","Filiberto's","","33.304775","-111.947948","AZ","3.5"
"-3jSU7oWrDqRgV68TWtlOg","3557 W Dunlap Ave
Phoenix, AZ 85051","true","Phoenix","3","International 88 Market","","33.567232","-112.136127","AZ","2"
"-3WVw1TNQbPBzaKCaQQ1AQ","302 E Flower St
Phoenix, AZ 85012","true","Phoenix","198","China Chili","","33.48585","-112.069181","AZ","4"
"-3xbryp44xhpN4BohxXDdQ","21001 N Tatum Blvd
Phoenix, AZ 85050","true","Phoenix","89","The Keg Steakhouse + Bar","","33.678615","-111.974607","AZ","4"
"-4A5xmN21zi_TXnUESauUQ","2613 N Scottsdale Rd
Scottsdale, AZ 85257","true","Scottsdale","374","D'lish","","33.477178","-111.925799","AZ","4.5"
"-4BtfPW3_v092G8pqHrv4w","1175 W Chandler Blvd
Chandler, AZ 85224","true","Chandler","6","Wendy's ","","33.305579","-111.862189","AZ","4"
"-4QayefhaPXm6wPp-Zpb0A","8399 W Lynwood St
Tolleson, AZ 85353","true","Tolleson","3","Premier Inn","","33.464189","-112.238571","AZ","3.5"
"-4zMr3jk0ykmsk5sxsQMlA","1996 N Alma School Road
Chandler, AZ 85224","true","Chandler","5","99 Cents Only Store","","33.335144","-111.859078","AZ","4"
"-50sQyEuqRFKYTc1QHOZoQ","13200 W McDowell Rd
Goodyear, AZ 85395","true","Goodyear","4","Desert Schools Federal Credit Union","","33.464887","-112.3432","AZ","4"
"-5bLhMLNGbIVyoPOVl0yLg","1215 W Broadway Rd
Mesa, AZ 85202","true","Mesa","3","Enterprise Rent-A-Car","","33.407467","-111.857227","AZ","4.5"
